"gene_type" "gene_name"
"538529" "lncRNA" "AC012557.2"
"538532" "lncRNA" "AC092040.1"
"538537" "lncRNA" "LINC00994"
"538543" "protein_coding" "PRICKLE2"
"538640" "lncRNA" "PRICKLE2-AS1"
"538647" "lncRNA" "PRICKLE2-AS2"
"538653" "lncRNA" "PRICKLE2-AS3"
"538659" "lncRNA" "PRICKLE2-DT"
"538670" "protein_coding" "ADAMTS9"
"538984" "lncRNA" "ADAMTS9-AS1"
"539063" "lncRNA" "ADAMTS9-AS2"
"539097" "lncRNA" "LINC02040"
"539114" "protein_coding" "MAGI1"
"539621" "lncRNA" "AC121493.1"
"539624" "lncRNA" "MAGI1-IT1"
"539629" "lncRNA" "MAGI1-AS1"
"539634" "protein_coding" "SLC25A26"
"539767" "protein_coding" "LRIG1"
"539907" "lncRNA" "AC098969.2"
"539912" "lncRNA" "AC098969.1"
"539916" "lncRNA" "AC020655.1"
"539919" "protein_coding" "KBTBD8"
"539960" "lncRNA" "AC114401.1"
"539967" "protein_coding" "SUCLG2"
"540060" "lncRNA" "SUCLG2-AS1"
"540135" "protein_coding" "TAFA1"
"540177" "lncRNA" "AC104167.1"
"540181" "protein_coding" "TAFA4"
"540227" "protein_coding" "EOGT"
"540454" "lncRNA" "AC109587.1"
"540506" "protein_coding" "TMF1"
"540668" "protein_coding" "UBA3"
"540901" "protein_coding" "ARL6IP5"
"540951" "protein_coding" "LMOD3"
"540989" "protein_coding" "FRMD4B"
"541227" "lncRNA" "AC099328.2"
"541232" "lncRNA" "AC104445.1"
"541236" "protein_coding" "MITF"
"541555" "lncRNA" "SAMMSON"
"541729" "protein_coding" "MDFIC2"
"541742" "lncRNA" "AC104633.1"
"541747" "lncRNA" "AC104633.2"
"541751" "protein_coding" "FOXP1"
"543417" "lncRNA" "FOXP1-AS1"
"543424" "lncRNA" "AC097634.2"
"543428" "lncRNA" "FOXP1-IT1"
"543432" "lncRNA" "AC097634.3"
"543437" "lncRNA" "AC097634.1"
"543440" "protein_coding" "EIF4E3"
"543600" "protein_coding" "GPR27"
"543608" "protein_coding" "PROK2"
"543633" "lncRNA" "AC096970.1"
"543637" "lncRNA" "LINC00877"
"543772" "lncRNA" "AC105265.3"
"543783" "lncRNA" "AC105265.4"
"543787" "lncRNA" "LINC00870"
"543812" "lncRNA" "AC112219.2"
"543815" "lncRNA" "AC112219.1"
"543820" "lncRNA" "AC134508.2"
"543825" "lncRNA" "AC134508.1"
"543828" "protein_coding" "RYBP"
"543840" "lncRNA" "AC104435.2"
"543845" "lncRNA" "AC097369.2"
"543849" "protein_coding" "SHQ1"
"543968" "protein_coding" "GXYLT2"
"544007" "protein_coding" "PPP4R2"
"544105" "protein_coding" "EBLN2"
"544113" "protein_coding" "PDZRN3"
"544277" "lncRNA" "PDZRN3-AS1"
"544295" "lncRNA" "LINC02005"
"544315" "lncRNA" "LINC02047"
"544319" "protein_coding" "CNTN3"
"544373" "lncRNA" "AC117481.1"
"544378" "lncRNA" "LINC02018"
"544650" "protein_coding" "FRG2C"
"544677" "lncRNA" "LINC00960"
"544723" "protein_coding" "ZNF717"
"544810" "protein_coding" "ROBO2"
"545209" "lncRNA" "AC133040.1"
"545213" "lncRNA" "LINC02077"
"545218" "lncRNA" "AC117462.1"
"545223" "lncRNA" "AC108752.1"
"545237" "protein_coding" "ROBO1"
"545689" "lncRNA" "AC117461.1"
"545713" "lncRNA" "AC108690.1"
"545719" "lncRNA" "AC068756.1"
"545724" "lncRNA" "LINC02050"
"545749" "lncRNA" "LINC02027"
"545770" "lncRNA" "AC099542.2"
"545774" "lncRNA" "AC099542.1"
"545786" "lncRNA" "AC107302.2"
"545791" "protein_coding" "GBE1"
"545881" "lncRNA" "AC017015.2"
"545886" "lncRNA" "AC129807.1"
"545942" "lncRNA" "LINC02008"
"545993" "lncRNA" "AC023503.1"
"545998" "lncRNA" "AC092825.1"
"546002" "lncRNA" "AC117464.1"
"546017" "lncRNA" "LINC00971"
"546080" "lncRNA" "LINC02025"
"546090" "lncRNA" "AC132660.2"
"546094" "protein_coding" "CADM2"
"546175" "lncRNA" "CADM2-AS2"
"546181" "lncRNA" "CADM2-AS1"
"546185" "lncRNA" "AC108733.1"
"546196" "lncRNA" "LINC02070"
"546200" "protein_coding" "VGLL3"
"546249" "lncRNA" "AC107204.1"
"546267" "protein_coding" "CHMP2B"
"546335" "protein_coding" "POU1F1"
"546394" "lncRNA" "AC108749.1"
"546409" "protein_coding" "HTR1F"
"546417" "protein_coding" "CGGBP1"
"546474" "protein_coding" "ZNF654"
"546520" "protein_coding" "C3orf38"
"546549" "protein_coding" "CSNKA2IP"
"546578" "protein_coding" "EPHA3"
"546676" "lncRNA" "AC109129.1"
"546681" "protein_coding" "PROS1"
"546979" "protein_coding" "ARL13B"
"547143" "protein_coding" "STX19"
"547153" "protein_coding" "DHFR2"
"547205" "protein_coding" "NSUN3"
"547261" "lncRNA" "LINC00879"
"547533" "lncRNA" "AC106719.1"
"547537" "protein_coding" "MTRNR2L12"
"547545" "lncRNA" "AC109782.1"
"547555" "protein_coding" "EPHA6"
"547785" "lncRNA" "AC110491.1"
"547788" "protein_coding" "ARL6"
"547937" "lncRNA" "AC110491.3"
"547942" "protein_coding" "CRYBG3"
"548011" "lncRNA" "AC110491.2"
"548019" "protein_coding" "RIOX2"
"548150" "lncRNA" "AC026100.1"
"548155" "protein_coding" "GABRR3"
"548211" "protein_coding" "OR5AC2"
"548218" "lncRNA" "AC117460.1"
"548222" "protein_coding" "OR5H1"
"548238" "protein_coding" "OR5H14"
"548255" "protein_coding" "OR5H15"
"548271" "lncRNA" "AC117473.1"
"548277" "protein_coding" "OR5H6"
"548300" "protein_coding" "OR5H2"
"548313" "protein_coding" "OR5K4"
"548320" "protein_coding" "OR5K3"
"548327" "protein_coding" "OR5K1"
"548344" "protein_coding" "OR5K2"
"548352" "protein_coding" "CLDND1"
"548741" "lncRNA" "AC021660.2"
"548745" "protein_coding" "GPR15"
"548753" "lncRNA" "AC021660.4"
"548757" "protein_coding" "CPOX"
"548797" "lncRNA" "ST3GAL6-AS1"
"548878" "protein_coding" "ST3GAL6"
"549287" "protein_coding" "DCBLD2"
"549408" "lncRNA" "AC091212.1"
"549414" "lncRNA" "LINC00973"
"549418" "lncRNA" "AC078828.1"
"549422" "lncRNA" "AC107029.1"
"549430" "lncRNA" "AC107029.2"
"549446" "protein_coding" "COL8A1"
"549530" "lncRNA" "AC069222.1"
"549533" "protein_coding" "CMSS1"
"549663" "protein_coding" "FILIP1L"
"549763" "lncRNA" "AC129803.1"
"549769" "protein_coding" "TBC1D23"
"549952" "protein_coding" "NIT2"
"550045" "protein_coding" "TOMM70"
"550081" "protein_coding" "LNP1"
"550121" "protein_coding" "TMEM45A"
"550188" "protein_coding" "ADGRG7"
"550265" "protein_coding" "TFG"
"550433" "protein_coding" "ABI3BP"
"551262" "protein_coding" "IMPG2"
"551306" "protein_coding" "SENP7"
"551589" "protein_coding" "TRMT10C"
"551606" "protein_coding" "PCNP"
"551687" "protein_coding" "ZBTB11"
"551727" "lncRNA" "ZBTB11-AS1"
"551730" "protein_coding" "RPL24"
"551790" "lncRNA" "AC084198.2"
"551795" "protein_coding" "CEP97"
"551900" "protein_coding" "NXPE3"
"552008" "lncRNA" "AC020651.1"
"552012" "protein_coding" "NFKBIZ"
"552177" "lncRNA" "AC020651.2"
"552183" "lncRNA" "LINC02085"
"552189" "lncRNA" "AC106712.1"
"552198" "protein_coding" "ZPLD1"
"552300" "lncRNA" "AC063938.1"
"552319" "protein_coding" "ALCAM"
"552486" "protein_coding" "CBLB"
"552962" "lncRNA" "AC131237.1"
"552968" "lncRNA" "AC079382.2"
"552978" "lncRNA" "LINC00882"
"553472" "lncRNA" "AC117435.1"
"553476" "lncRNA" "DUBR"
"553618" "lncRNA" "AC063944.1"
"553662" "lncRNA" "AC063944.3"
"553665" "protein_coding" "CCDC54"
"553673" "lncRNA" "LINC01990"
"553702" "protein_coding" "BBX"
"554134" "lncRNA" "LINC00636"
"554147" "lncRNA" "LINC00635"
"555742" "lncRNA" "AC012020.1"
"555751" "protein_coding" "CD47"
"555850" "lncRNA" "LINC01215"
"555855" "protein_coding" "IFT57"
"555920" "protein_coding" "HHLA2"
"556136" "protein_coding" "MYH15"
"556249" "protein_coding" "CIP2A"
"556483" "protein_coding" "DZIP3"
"556756" "protein_coding" "RETNLB"
"556774" "protein_coding" "TRAT1"
"556820" "protein_coding" "GUCA1C"
"556857" "protein_coding" "MORC1"
"556978" "lncRNA" "MORC1-AS1"
"556983" "protein_coding" "C3orf85"
"557032" "lncRNA" "AC063923.2"
"557035" "lncRNA" "LINC00488"
"557045" "protein_coding" "DPPA2"
"557069" "protein_coding" "DPPA4"
"557138" "lncRNA" "LINC01205"
"557181" "lncRNA" "AC078980.1"
"557186" "lncRNA" "AC117430.1"
"557192" "lncRNA" "NECTIN3-AS1"
"557224" "protein_coding" "NECTIN3"
"557338" "protein_coding" "CD96"
"557496" "lncRNA" "AC092916.1"
"557500" "protein_coding" "ZBED2"
"557510" "protein_coding" "PLCXD2"
"557559" "lncRNA" "PLCXD2-AS1"
"557563" "protein_coding" "PHLDB2"
"557941" "lncRNA" "AC117509.1"
"557945" "protein_coding" "ABHD10"
"558005" "protein_coding" "TAGLN3"
"558091" "protein_coding" "TMPRSS7"
"558257" "protein_coding" "C3orf52"
"558330" "protein_coding" "GCSAM"
"558446" "lncRNA" "TBILA"
"558449" "protein_coding" "SLC9C1"
"558639" "lncRNA" "AC112487.1"
"558652" "protein_coding" "CD200"
"558755" "lncRNA" "AC092894.1"
"558759" "protein_coding" "BTLA"
"558794" "protein_coding" "ATG3"
"558920" "protein_coding" "SLC35A5"
"559016" "protein_coding" "CCDC80"
"559096" "lncRNA" "LINC02042"
"559103" "lncRNA" "CD200R1L-AS1"
"559111" "protein_coding" "CD200R1L"
"559194" "protein_coding" "CD200R1"
"559272" "lncRNA" "AC074044.1"
"559275" "protein_coding" "GTPBP8"
"559411" "protein_coding" "NEPRO"
"559721" "lncRNA" "AC078785.1"
"559756" "lncRNA" "AC078785.2"
"559761" "lncRNA" "LINC02044"
"559767" "protein_coding" "BOC"
"560034" "lncRNA" "AC026329.1"
"560038" "protein_coding" "CFAP44"
"560290" "lncRNA" "CFAP44-AS1"
"560309" "protein_coding" "SPICE1"
"560418" "protein_coding" "SIDT1"
"560584" "lncRNA" "SIDT1-AS1"
"560588" "protein_coding" "USF3"
"560646" "protein_coding" "NAA50"
"560780" "lncRNA" "AC108693.2"
"560784" "protein_coding" "ATP6V1A"
"560897" "protein_coding" "GRAMD1C"
"561131" "lncRNA" "AC128687.2"
"561134" "protein_coding" "ZDHHC23"
"561230" "protein_coding" "CCDC191"
"561372" "lncRNA" "AC128687.3"
"561376" "lncRNA" "AC092896.2"
"561382" "protein_coding" "QTRT2"
"561538" "protein_coding" "DRD3"
"561621" "lncRNA" "AC093010.2"
"561629" "protein_coding" "ZNF80"
"561655" "protein_coding" "TIGIT"
"561727" "lncRNA" "AC093010.3"
"561730" "protein_coding" "ZBTB20"
"561971" "lncRNA" "ZBTB20-AS1"
"562051" "lncRNA" "ZBTB20-AS5"
"562066" "lncRNA" "ZBTB20-AS2"
"562070" "lncRNA" "ZBTB20-AS3"
"562075" "lncRNA" "ZBTB20-AS4"
"562079" "lncRNA" "AC026341.1"
"562150" "lncRNA" "AC026341.2"
"562155" "lncRNA" "AC026341.3"
"562159" "protein_coding" "GAP43"
"562184" "lncRNA" "AC092468.1"
"562188" "protein_coding" "LSAMP"
"562274" "lncRNA" "LSAMP-AS1"
"562280" "lncRNA" "LINC00903"
"562284" "lncRNA" "TUSC7"
"562328" "lncRNA" "LINC00901"
"562332" "lncRNA" "AC092691.1"
"562340" "lncRNA" "LINC02024"
"562382" "lncRNA" "AC092691.3"
"562400" "lncRNA" "AC068633.1"
"562428" "lncRNA" "AC068633.2"
"562432" "protein_coding" "IGSF11"
"562591" "lncRNA" "IGSF11-AS1"
"562601" "protein_coding" "TEX55"
"562649" "protein_coding" "UPK1B"
"562741" "protein_coding" "B4GALT4"
"562973" "lncRNA" "B4GALT4-AS1"
"562983" "protein_coding" "ARHGAP31"
"563028" "lncRNA" "ARHGAP31-AS1"
"563032" "protein_coding" "TMEM39A"
"563171" "protein_coding" "POGLUT1"
"563317" "lncRNA" "AC073352.1"
"563320" "protein_coding" "TIMMDC1"
"563433" "protein_coding" "CD80"
"563485" "lncRNA" "AC073352.2"
"563488" "protein_coding" "ADPRH"
"563559" "protein_coding" "PLA1A"
"563686" "protein_coding" "POPDC2"
"563768" "protein_coding" "COX17"
"563842" "lncRNA" "AC023494.1"
"563846" "protein_coding" "MAATS1"
"564098" "lncRNA" "AC069444.1"
"564103" "protein_coding" "NR1I2"
"564222" "protein_coding" "GSK3B"
"564315" "lncRNA" "AC092910.3"
"564330" "protein_coding" "GPR156"
"564419" "protein_coding" "LRRC58"
"564433" "lncRNA" "AC063952.4"
"564438" "protein_coding" "FSTL1"
"564537" "lncRNA" "AC126182.3"
"564542" "protein_coding" "NDUFB4"
"564595" "protein_coding" "HGD"
"564715" "protein_coding" "RABL3"
"564856" "protein_coding" "GTF2E1"
"564902" "lncRNA" "AC072026.2"
"564928" "lncRNA" "LINC02049"
"564932" "lncRNA" "AC072026.3"
"564939" "protein_coding" "STXBP5L"
"565308" "lncRNA" "AC079841.2"
"565312" "protein_coding" "POLQ"
"565456" "protein_coding" "ARGFX"
"565484" "protein_coding" "FBXO40"
"565498" "protein_coding" "HCLS1"
"565659" "protein_coding" "GOLGB1"
"565929" "protein_coding" "IQCB1"
"566079" "protein_coding" "EAF2"
"566150" "protein_coding" "SLC15A2"
"566283" "protein_coding" "ILDR1"
"566369" "protein_coding" "CD86"
"566490" "protein_coding" "CASR"
"566570" "protein_coding" "CSTA"
"566591" "protein_coding" "CCDC58"
"566660" "protein_coding" "FAM162A"
"566706" "protein_coding" "WDR5B"
"566714" "lncRNA" "AC083798.2"
"566736" "protein_coding" "KPNA1"
"566940" "lncRNA" "AC096861.2"
"566944" "protein_coding" "PARP9"
"567090" "protein_coding" "DTX3L"
"567118" "protein_coding" "PARP15"
"567230" "protein_coding" "PARP14"
"567367" "protein_coding" "HSPBAP1"
"567415" "protein_coding" "SLC49A4"
"567460" "lncRNA" "LINC02035"
"567463" "protein_coding" "SEMA5B"
"567916" "protein_coding" "PDIA5"
"568046" "protein_coding" "SEC22A"
"568182" "lncRNA" "AC112503.2"
"568185" "protein_coding" "ADCY5"
"568409" "lncRNA" "AC112503.1"
"568412" "protein_coding" "HACD2"
"568461" "lncRNA" "MYLK-AS1"
"568498" "protein_coding" "MYLK"
"569083" "lncRNA" "MYLK-AS2"
"569091" "lncRNA" "AC020634.2"
"569094" "protein_coding" "CCDC14"
"569414" "protein_coding" "ROPN1"
"569550" "protein_coding" "KALRN"
"570149" "lncRNA" "AC022336.2"
"570152" "protein_coding" "UMPS"
"570287" "protein_coding" "ITGB5"
"570437" "lncRNA" "ITGB5-AS1"
"570441" "protein_coding" "MUC13"
"570500" "protein_coding" "HEG1"
"570594" "lncRNA" "AC117488.1"
"570598" "protein_coding" "SLC12A8"
"570798" "protein_coding" "ZNF148"
"570953" "protein_coding" "SNX4"
"571047" "protein_coding" "OSBPL11"
"571079" "lncRNA" "AC092902.4"
"571087" "lncRNA" "AC092902.2"
"571091" "lncRNA" "AC092902.6"
"571095" "lncRNA" "LINC02614"
"571197" "lncRNA" "AC092903.2"
"571209" "protein_coding" "ALG1L"
"571243" "protein_coding" "ROPN1B"
"571361" "protein_coding" "SLC41A3"
"571676" "lncRNA" "AC117422.1"
"571680" "lncRNA" "AC079848.1"
"571694" "protein_coding" "ALDH1L1"
"572130" "lncRNA" "ALDH1L1-AS1"
"572136" "lncRNA" "ALDH1L1-AS2"
"572151" "lncRNA" "AC079848.2"
"572186" "lncRNA" "AC016924.1"
"572211" "lncRNA" "AC063919.1"
"572220" "lncRNA" "AC063919.2"
"572225" "protein_coding" "KLF15"
"572240" "lncRNA" "CCDC37-DT"
"572267" "protein_coding" "CFAP100"
"572379" "protein_coding" "ZXDC"
"572445" "protein_coding" "UROC1"
"572538" "protein_coding" "CHST13"
"572562" "protein_coding" "C3orf22"
"572593" "protein_coding" "AC024558.2"
"572607" "protein_coding" "TXNRD3"
"572756" "protein_coding" "CHCHD6"
"572854" "protein_coding" "PLXNA1"
"572939" "lncRNA" "AC112482.2"
"572943" "protein_coding" "C3orf56"
"572953" "lncRNA" "AC133681.1"
"572958" "protein_coding" "PRR20G"
"572970" "lncRNA" "LINC02016"
"572990" "lncRNA" "LINC01471"
"573276" "lncRNA" "AC016968.1"
"573282" "lncRNA" "LINC02034"
"573288" "lncRNA" "AC084035.1"
"573291" "protein_coding" "TPRA1"
"573546" "protein_coding" "MCM2"
"573713" "lncRNA" "AC023593.1"
"573718" "protein_coding" "PODXL2"
"573740" "protein_coding" "ABTB1"
"573939" "protein_coding" "MGLL"
"574145" "lncRNA" "AC117480.1"
"574149" "protein_coding" "KBTBD12"
"574224" "protein_coding" "SEC61A1"
"574332" "protein_coding" "RUVBL1"
"574434" "lncRNA" "RUVBL1-AS1"
"574438" "protein_coding" "EEFSEC"
"574480" "lncRNA" "AL449214.1"
"574484" "protein_coding" "DNAJB8"
"574505" "lncRNA" "DNAJB8-AS1"
"574510" "protein_coding" "GATA2"
"574585" "lncRNA" "GATA2-AS1"
"574599" "lncRNA" "AC080005.1"
"574603" "lncRNA" "LINC01565"
"574610" "protein_coding" "RPN1"
"574693" "protein_coding" "RAB7A"
"574791" "lncRNA" "AC112484.3"
"574794" "lncRNA" "AC112484.1"
"574804" "lncRNA" "AC112484.5"
"574808" "protein_coding" "ACAD9"
"575082" "protein_coding" "KIAA1257"
"575223" "protein_coding" "EFCC1"
"575251" "protein_coding" "GP9"
"575263" "protein_coding" "RAB43"
"575360" "lncRNA" "AC108673.2"
"575363" "protein_coding" "ISY1"
"575495" "lncRNA" "AC108673.3"
"575498" "protein_coding" "CNBP"
"575623" "protein_coding" "COPG1"
"575770" "lncRNA" "AC137695.3"
"575773" "protein_coding" "HMCES"
"575900" "protein_coding" "H1FX"
"575908" "lncRNA" "H1FX-AS1"
"575928" "protein_coding" "EFCAB12"
"576001" "protein_coding" "MBD4"
"576132" "protein_coding" "IFT122"
"576938" "protein_coding" "RHO"
"576954" "protein_coding" "H1FOO"
"576983" "protein_coding" "PLXND1"
"577184" "protein_coding" "TMCC1"
"577324" "lncRNA" "AC083799.1"
"577327" "lncRNA" "TMCC1-AS1"
"577350" "lncRNA" "AC083906.3"
"577356" "protein_coding" "TRH"
"577379" "protein_coding" "ALG1L2"
"577414" "lncRNA" "LINC02014"
"577420" "lncRNA" "LINC02021"
"577453" "lncRNA" "AC130888.1"
"577458" "protein_coding" "COL6A5"
"577690" "protein_coding" "COL6A6"
"577848" "protein_coding" "PIK3R4"
"577950" "lncRNA" "AC097105.1"
"577954" "protein_coding" "ATP2C1"
"578872" "lncRNA" "AC055733.2"
"578876" "protein_coding" "ASTE1"
"578979" "protein_coding" "NEK11"
"579352" "lncRNA" "AC116424.1"
"579365" "lncRNA" "AC010210.1"
"579398" "protein_coding" "NUDT16"
"579431" "lncRNA" "AC107027.3"
"579434" "protein_coding" "MRPL3"
"579573" "lncRNA" "AC107027.1"
"579621" "protein_coding" "CPNE4"
"579926" "protein_coding" "ACPP"
"580046" "protein_coding" "DNAJC13"
"580352" "protein_coding" "ACAD11"
"580543" "protein_coding" "ACKR4"
"580562" "protein_coding" "UBA5"
"580781" "protein_coding" "NPHP3"
"580998" "lncRNA" "NPHP3-AS1"
"581017" "lncRNA" "AC079942.1"
"581021" "protein_coding" "TMEM108"
"581150" "lncRNA" "TMEM108-AS1"
"581160" "protein_coding" "BFSP2"
"581199" "lncRNA" "BFSP2-AS1"
"581206" "lncRNA" "AC022296.4"
"581209" "protein_coding" "CDV3"
"581331" "protein_coding" "TOPBP1"
"581495" "protein_coding" "TF"
"581649" "protein_coding" "SRPRB"
"581705" "lncRNA" "AC080128.2"
"581709" "protein_coding" "RAB6B"
"581829" "protein_coding" "SLCO2A1"
"581959" "lncRNA" "LINC02000"
"581963" "protein_coding" "RYK"
"582117" "lncRNA" "LINC02004"
"582121" "lncRNA" "AC010207.1"
"582124" "protein_coding" "AMOTL2"
"582287" "protein_coding" "ANAPC13"
"582338" "protein_coding" "CEP63"
"582672" "protein_coding" "EPHB1"
"582860" "protein_coding" "KY"
"582960" "lncRNA" "AC016931.1"
"582964" "lncRNA" "AC092969.1"
"583017" "protein_coding" "PPP2R3A"
"583137" "lncRNA" "AC072039.2"
"583140" "protein_coding" "MSL2"
"583180" "protein_coding" "PCCB"
"583642" "protein_coding" "STAG1"
"584104" "lncRNA" "AC117382.2"
"584107" "lncRNA" "AC096992.3"
"584113" "protein_coding" "SLC35G2"
"584135" "lncRNA" "NCK1-DT"
"584173" "lncRNA" "AC096992.2"
"584176" "protein_coding" "NCK1"
"584283" "protein_coding" "IL20RB"
"584358" "lncRNA" "IL20RB-AS1"
"584362" "protein_coding" "SOX14"
"584370" "lncRNA" "LINC01210"
"584482" "lncRNA" "AC007159.1"
"584485" "protein_coding" "CLDN18"
"584529" "lncRNA" "AC016252.1"
"584532" "protein_coding" "DZIP1L"
"584647" "protein_coding" "A4GNT"
"584659" "protein_coding" "DBR1"
"584704" "protein_coding" "ARMC8"
"585269" "protein_coding" "NME9"
"585455" "protein_coding" "MRAS"
"585581" "protein_coding" "ESYT3"
"585730" "protein_coding" "CEP70"
"586032" "protein_coding" "FAIM"
"586137" "protein_coding" "PIK3CB"
"586467" "lncRNA" "LINC01391"
"586479" "protein_coding" "FOXL2"
"586487" "protein_coding" "FOXL2NB"
"586513" "protein_coding" "PRR23A"
"586520" "protein_coding" "MRPS22"
"586700" "protein_coding" "PRR23B"
"586708" "protein_coding" "PRR23C"
"586716" "lncRNA" "BPESC1"
"586721" "lncRNA" "PISRT1"
"586724" "lncRNA" "AC024933.2"
"586728" "lncRNA" "AC024933.1"
"586731" "protein_coding" "COPB2"
"586944" "lncRNA" "AC046134.2"
"587032" "protein_coding" "RBP2"
"587066" "lncRNA" "AC097103.1"
"587070" "protein_coding" "RBP1"
"587157" "protein_coding" "NMNAT3"
"587418" "lncRNA" "AC110716.2"
"587421" "lncRNA" "AC110716.1"
"587425" "lncRNA" "AC016933.1"
"587430" "protein_coding" "CLSTN2"
"587482" "lncRNA" "AC010181.1"
"587501" "lncRNA" "AC010181.2"
"587505" "lncRNA" "CLSTN2-AS1"
"587509" "protein_coding" "TRIM42"
"587525" "lncRNA" "AC121333.1"
"587528" "protein_coding" "SLC25A36"
"587735" "lncRNA" "AC108727.1"
"587739" "protein_coding" "SPSB4"
"587767" "lncRNA" "AC108727.2"
"587772" "protein_coding" "PXYLP1"
"588018" "lncRNA" "AC022215.2"
"588022" "lncRNA" "AC117383.1"
"588027" "protein_coding" "ZBTB38"
"588212" "protein_coding" "RASA2"
"588363" "lncRNA" "RASA2-IT1"
"588367" "protein_coding" "RNF7"
"588431" "protein_coding" "GRK7"
"588445" "lncRNA" "AC112504.3"
"588450" "protein_coding" "ATP1B3"
"588575" "lncRNA" "ATP1B3-AS1"
"588579" "protein_coding" "TFDP2"
"588950" "protein_coding" "GK5"
"589148" "protein_coding" "XRN1"
"589512" "protein_coding" "ATR"
"590038" "lncRNA" "AC109992.2"
"590042" "protein_coding" "PLS1"
"590257" "lncRNA" "PLS1-AS1"
"590261" "lncRNA" "AC072028.1"
"590265" "protein_coding" "TRPC1"
"590369" "protein_coding" "PCOLCE2"
"590493" "lncRNA" "AC021074.3"
"590597" "protein_coding" "PAQR9"
"590623" "lncRNA" "PAQR9-AS1"
"590683" "protein_coding" "U2SURP"
"591060" "lncRNA" "AC026304.1"
"591063" "lncRNA" "AC018450.2"
"591067" "protein_coding" "CHST2"
"591077" "lncRNA" "AC018450.1"
"591084" "protein_coding" "SLC9A9"
"591154" "lncRNA" "AC131210.1"
"591158" "lncRNA" "SLC9A9-AS1"
"591164" "lncRNA" "SLC9A9-AS2"
"591168" "protein_coding" "DIPK2A"
"591222" "lncRNA" "AC055758.2"
"591231" "lncRNA" "AC055758.1"
"591235" "lncRNA" "AC107021.2"
"591238" "lncRNA" "AC107021.1"
"591250" "lncRNA" "LNCSRLR"
"591254" "protein_coding" "PLOD2"
"591461" "protein_coding" "PLSCR4"
"591650" "protein_coding" "PLSCR2"
"591768" "protein_coding" "PLSCR1"
"592046" "protein_coding" "PLSCR5"
"592110" "lncRNA" "PLSCR5-AS1"
"592114" "lncRNA" "AC092957.1"
"592130" "lncRNA" "LINC02010"
"592141" "protein_coding" "ZIC4"
"592294" "lncRNA" "ZIC4-AS1"
"592298" "protein_coding" "ZIC1"
"592329" "lncRNA" "AC092925.1"
"592334" "lncRNA" "AC092958.1"
"592365" "lncRNA" "AC092958.4"
"592372" "lncRNA" "LINC02032"
"592396" "lncRNA" "AC092958.3"
"592401" "lncRNA" "AC092958.2"
"592407" "lncRNA" "AC025566.1"
"592416" "lncRNA" "LINC02045"
"592429" "lncRNA" "LINC02046"
"592507" "lncRNA" "AC069410.1"
"592515" "protein_coding" "AGTR1"
"592599" "protein_coding" "CPB1"
"592718" "lncRNA" "AC092979.1"
"592725" "protein_coding" "CPA3"
"592759" "lncRNA" "AC092979.2"
"592765" "protein_coding" "GYG1"
"592918" "protein_coding" "HLTF"
"593183" "lncRNA" "HLTF-AS1"
"593188" "protein_coding" "HPS3"
"593306" "protein_coding" "CP"
"593512" "lncRNA" "AC093001.2"
"593518" "lncRNA" "AC093001.1"
"593522" "protein_coding" "TM4SF18"
"593578" "protein_coding" "TM4SF1"
"593627" "lncRNA" "TM4SF1-AS1"
"593638" "lncRNA" "AC108751.4"
"593642" "protein_coding" "TM4SF4"
"593669" "protein_coding" "WWTR1"
"593807" "lncRNA" "WWTR1-IT1"
"593811" "lncRNA" "WWTR1-AS1"
"593825" "protein_coding" "COMMD2"
"593889" "protein_coding" "ANKUB1"
"593961" "protein_coding" "RNF13"
"594234" "protein_coding" "PFN2"
"594425" "lncRNA" "AC117395.1"
"594433" "lncRNA" "AC117386.2"
"594446" "lncRNA" "LINC01998"
"594450" "lncRNA" "AC117386.1"
"594458" "lncRNA" "LINC01213"
"594479" "lncRNA" "LINC01214"
"594489" "lncRNA" "AC018545.1"
"594493" "protein_coding" "TSC22D2"
"594542" "protein_coding" "SERP1"
"594599" "protein_coding" "EIF2A"
"594884" "protein_coding" "SELENOT"
"594998" "protein_coding" "ERICH6"
"595098" "lncRNA" "ERICH6-AS1"
"595120" "lncRNA" "AC011317.1"
"595136" "protein_coding" "SIAH2"
"595158" "lncRNA" "SIAH2-AS1"
"595166" "lncRNA" "CLRN1-AS1"
"595180" "protein_coding" "MINDY4B"
"595212" "lncRNA" "AC020636.1"
"595217" "protein_coding" "CLRN1"
"595295" "protein_coding" "MED12L"
"595561" "protein_coding" "GPR171"
"595586" "protein_coding" "P2RY14"
"595620" "lncRNA" "AC078816.1"
"595624" "protein_coding" "GPR87"
"595638" "protein_coding" "P2RY13"
"595648" "protein_coding" "P2RY12"
"595663" "protein_coding" "IGSF10"
"595696" "lncRNA" "LINC02066"
"595701" "protein_coding" "AADACL2"
"595730" "lncRNA" "AADACL2-AS1"
"595742" "protein_coding" "AADAC"
"595771" "protein_coding" "SUCNR1"
"595783" "lncRNA" "AC108718.1"
"595787" "protein_coding" "MBNL1"
"596177" "lncRNA" "MBNL1-AS1"
"596190" "lncRNA" "AC026347.1"
"596194" "lncRNA" "AC092924.1"
"596198" "lncRNA" "AC092924.2"
"596204" "protein_coding" "P2RY1"
"596212" "lncRNA" "AC117394.2"
